Name,PD,HOMFLY
9_34,[[2;13;3;14];[4;17;5;18];[6;16;7;15];[8;4;9;3];[10;5;11;6];[12;8;13;7];[14;1;15;2];[16;11;17;12];[18;10;1;9]],(v^(-2)-1+ v^2)+ (-v^(-4)+ 3*v^(-2)-4+ v^2)*z^2+ (2*v^(-2)-3+ v^2)*z^4-z^6
9_35,[[2;12;3;11];[4;16;5;15];[6;14;7;13];[8;18;9;17];[10;4;11;3];[12;2;13;1];[14;6;15;5];[16;10;17;9];[18;8;1;7]],(3*v^6-v^8-v^10)+ (v^2+ 2*v^4+ 3*v^6+ v^8)*z^2
9_36,[[2;15;3;16];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;10;13;9];[14;1;15;2];[16;7;17;8];[18;13;1;14]],(-2*v^(-8)+ 4*v^(-6)-3*v^(-4)+ 2*v^(-2))+ (-v^(-8)+ 6*v^(-6)-5*v^(-4)+ 3*v^(-2))*z^2+ (2*v^(-6)-4*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6
9_37,[[1;10;2;11];[3;14;4;15];[5;1;6;18];[7;17;8;16];[9;2;10;3];[11;9;12;8];[13;4;14;5];[15;13;16;12];[17;7;18;6]],(v^(-4)-2+ 2*v^2)+ (-2*v^(-2)-1+ v^2-v^4)*z^2+ (1+ v^2)*z^4
9_38,[[2;14;3;13];[4;10;5;9];[6;16;7;15];[8;4;9;3];[10;18;11;17];[12;6;13;5];[14;2;15;1];[16;12;17;11];[18;8;1;7]],(4*v^6-3*v^8)+ (v^4+ 7*v^6-v^8-v^10)*z^2+ (v^4+ 3*v^6+ v^8)*z^4
9_39,[[1;12;2;13];[3;17;4;16];[5;10;6;11];[7;18;8;1];[9;14;10;15];[11;2;12;3];[13;6;14;7];[15;5;16;4];[17;8;18;9]],(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (3*v^(-6)-3*v^(-4)+ v^(-2)+ 1)*z^2+ (-2*v^(-4)-v^(-2))*z^4
9_40,[[1;15;2;14];[3;12;4;13];[5;11;6;10];[7;3;8;2];[9;18;10;1];[11;17;12;16];[13;9;14;8];[15;6;16;7];[17;5;18;4]],(2-2*v^2+ v^4)+ (-2*v^4+ v^6)*z^2+ (-1+ 2*v^2-2*v^4)*z^4+ v^2*z^6
9_41,[[1;15;2;14];[3;12;4;13];[5;16;6;17];[7;3;8;2];[9;18;10;1];[11;4;12;5];[13;9;14;8];[15;6;16;7];[17;10;18;11]],(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (-3*v^(-4)+ 4*v^(-2)-v^2)*z^2+ (2*v^(-2)+ 1)*z^4
9_42,[[1;5;2;4];[5;11;6;10];[3;8;4;9];[9;2;10;3];[16;11;17;12];[14;8;15;7];[6;16;7;15];[18;13;1;14];[12;17;13;18]],(2*v^(-2)-3+ 2*v^2)+ (v^(-2)-4+ v^2)*z^2-z^4
9_43,[[1;9;2;8];[3;16;4;17];[5;1;6;18];[6;12;7;11];[9;3;10;2];[10;14;11;13];[12;8;13;7];[15;4;16;5];[17;15;18;14]],(3*v^2-4*v^4+ 3*v^6-v^8)+ (4*v^2-7*v^4+ 4*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4-v^4*z^6
